,recordType,title,shorttitle,author,year,volume,pages,publisher,issn,abstract,file,journal,number,booktitle,editor,isbn
broadberryLancashireIndiaShifting2009,article,"{Lancashire, {{India}}, and {{Shifting Competitive Advantage}} in {{Cotton Textiles}}, 1700-1850: {{The Neglected Role}} of {{Factor Prices}}}","{Lancashire, {{India}}, and {{Shifting Competitive Advantage}} in {{Cotton Textiles}}, 1700-1850}","{Broadberry, Stephen and Gupta, Bishnupriya}",{2009},{62},{279--305},"{{[Economic History Society, Wiley]}}",{0013-0117},"{In the early eighteenth century, wages in Britain were more than four times as high as in India, the world's major exporter of cotton textiles. This induced the adoption of more capital-intensive production methods in Britain and a faster rate of technological progress, so that competitive advantage had begun to shift in Britain's favour by the late eighteenth century. However, the completion of the process was delayed until after the Napoleonic Wars by increasing raw cotton costs, before supply adjusted to the major increase in demand for inputs.}","{/Users/ronaldmalis/Documents/Zotero Books/BroadberryS_GuptaB/2009/Broadberry_Gupta_2009_Lancashire, India, and Shifting Competitive Advantage in Cotton Textiles,.pdf}",{The Economic History Review},{2},,,
clarkHumanCapitalFertility2005,article,"{Human {{Capital}}, {{Fertility}}, and the {{Industrial Revolution}}}",,"{Clark, Gregory}",{2005},{3},{505--515},{{Oxford University Press}},{1542-4766},"{The Industrial Revolution and the Demographic Transition are the two great forces that explain the upward march of modern incomes. This paper sets out the empirical realities attempts to unify these events through theories of human capital investment have to meet. The major difficulty is to form an explanation which connects them which can also reconcile the seeming differences in fertility behavior over time and in cross section in the pre-industrial world, the transition period, and the modern world.}","{/Users/ronaldmalis/Documents/Zotero Books/ClarkG/2005/Clark_2005_Human Capital, Fertility, and the Industrial Revolution.pdf}",{Journal of the European Economic Association},{2/3},,,
clarkLongMarchHistory2007,article,"{The {{Long March}} of {{History}}: {{Farm Wages}}, {{Population}}, and {{Economic Growth}}, {{England}} 1209-1869}",{The {{Long March}} of {{History}}},"{Clark, Gregory}",{2007},{60},{97--135},"{{[Economic History Society, Wiley]}}",{0013-0117},"{The article forms three series for English farm workers from 1209-1869: nominal day wages, the implied marginal product of a day of farm labour, and the purchasing power of a day's wage in terms of farm workers' consumption. These series suggest that labour productivity in English agriculture was already high in the middle ages. Furthermore, they fit well with one method of estimating medieval population that suggests a peak English population c. 1300 of nearly 6 million. Lastly, they imply that both agricultural technology and the general efficiency of the economy were static from 1250 till 1600. Economic changes were in these years entirely a product of demographic shifts. From 1600 to 1800, technological advance in agriculture provided an alternative source of dynamism in the English economy.}",{/Users/ronaldmalis/Documents/Zotero Books/ClarkG/2007/Clark_2007_The Long March of History.pdf},{The Economic History Review},{1},,,
clarkMalthusModernityWealth2015,article,"{Malthus to modernity: wealth, status, and fertility in {{England}}, 1500-1879}",{Malthus to modernity},"{Clark, Gregory and Cummins, Neil}",{2015},{28},{3--29},{{Springer}},{0933-1433},"{A key challenge to theories of long-run economic growth has been linking the onset of modern growth with the move to modern fertility limitation. A notable puzzle for these theories is that modern growth in England began around 1780, 100 years before there was seemingly any movement to limit fertility. Here we show that the aggregate data on fertility in England before 1880 conceals significant declines in the fertility of the middle and upper classes earlier. These declines coincide with the Industrial Revolution and are of the character predicted by some recent theories of long-run growth.}",{/Users/ronaldmalis/Documents/Zotero Books/ClarkG_CumminsN/2015/Clark_Cummins_2015_Malthus to modernity.pdf},{Journal of Population Economics},{1},,,
clarkMalthusWagesPreindustrial2012,article,"{Malthus, {{Wages}}, and {{Preindustrial Growth}}}",,"{Clark, Gregory and Cummins, Joseph and Smith, Brock}",{2012},{72},{364--392},{{Cambridge University Press}},{0022-0507},"{Gregory Clark argued in A Farewell to Alms that preindustrial societies, including England, were Malthusian. Day wages show incomes were trendless: as high in Europe in the medieval era as in 1800, even in England. The opposed view is that England and the Netherlands grew substantially from 1200 to 1800. Early day wages overestimate living standards. Here we show that preindustrial farm employment shares can be estimated from probate occupation reports. These imply only 60 percent employed in farming in England in 1560\textemdash 1579 and 1653\textemdash 1660, consistent with the high incomes indicated by wages. Day wages do measure preindustrial living standards.}","{/Users/ronaldmalis/Documents/Zotero Books/ClarkG et al/2012/Clark et al_2012_Malthus, Wages, and Preindustrial Growth.pdf}",{The Journal of Economic History},{2},,,
demoorGirlPowerEuropean2010,article,{Girl power: the {{European}} marriage pattern and labour markets in the {{North Sea}} region in the late medieval and early modern period},{Girl power},"{DE MOOR, TINE and VAN ZANDEN, JAN LUITEN}",{2010},{63},{1--33},"{{[Economic History Society, Wiley]}}",{0013-0117},,{/Users/ronaldmalis/Documents/Zotero Books/DE MOORT_VAN ZANDENJ/2010/DE MOOR_VAN ZANDEN_2010_Girl power.pdf},{The Economic History Review},{1},,,
devriesEconomicCrisisSeventeenth2009,article,{The {{Economic Crisis}} of the {{Seventeenth Century}} after {{Fifty Years}}},,"{{de Vries}, Jan}",{2009},{40},{151--194},"{{[The MIT Press, Massachusetts Institute of Technology and the editors of The Journal of Interdisciplinary History]}}",{0022-1953},"{Since its introduction more than fifty years ago, the concept of a general seventeenth- century crisis has met with skepticism from most historians of Europe. Yet this historiographical latecomer persists as a seemingly necessary feature of early modern periodization. The economic contraction of the era is broadly accepted, but the crisis concept makes a larger claim\textemdash that the economic reversals led, ultimately, to a regrouping, a transformation of basic patterns and possibilities of European economic life. The challenge has always been to find a common thread\textemdash a credible theory\textemdash capable of tying together the disparate events of the time. The theoretical apparatus of fifty years ago may no longer serve, but more recent research offers possibilities for a rehabilitation of the concept of economic crisis.}",{/Users/ronaldmalis/Documents/Zotero Books/de VriesJ/2009/de Vries_2009_The Economic Crisis of the Seventeenth Century after Fifty Years.pdf},{The Journal of Interdisciplinary History},{2},,,
devriesIndustrialRevolutionIndustrious1994,article,{The {{Industrial Revolution}} and the {{Industrious Revolution}}},,"{De Vries, Jan}",{1994},{54},{249--270},"{{[Economic History Association, Cambridge University Press]}}",{0022-0507},"{The Industrial Revolution as a historical concept has many shortcomings. A new concept - the ""industrious revolution"" - is proposed to place the Industrial Revolution in a broader historical setting. The industrious revolution was a process of household-based resource reallocation that increased both the supply of marketed commodities and labor and the demand for market-supplied goods. The industrious revolution was a household-level change with important demand-side features that preceded the Industrial Revolution, a supply-side phenomenon. It has implications for nineteenth- and twentieth-century economic history.}",{/Users/ronaldmalis/Documents/Zotero Books/De VriesJ/1994/De Vries_1994_The Industrial Revolution and the Industrious Revolution.pdf},{The Journal of Economic History},{2},,,
devriesLimitsGlobalizationEarly2010,article,{The limits of globalization in the early modern world},,"{DE VRIES, JAN}",{2010},{63},{710--733},"{{[Economic History Society, Wiley]}}",{0013-0117},"{This article reviews the ways in which historians and economists have applied the term 'globalization' to the early modern era. It distinguishes a soft and a hard definition, and goes on to test the claims made about the driving forces shaping the growth and character of long-distance trade between Europe and Asia in the age of the European trading companies. On the basis of new estimates of the volume and value of European trade with Asia, the article concludes by identifying the factors limiting the growth of trade in this period.}",{/Users/ronaldmalis/Documents/Zotero Books/DE VRIESJ/2010/DE VRIES_2010_The limits of globalization in the early modern world.pdf},{The Economic History Review},{3},,,
devriesRoleRuralSector1971,article,{The {{Role}} of the {{Rural Sector}} in the {{Development}} of the {{Dutch Economy}}: 1500- 1700},{The {{Role}} of the {{Rural Sector}} in the {{Development}} of the {{Dutch Economy}}},"{{de Vries}, Jan}",{1971},{31},{266--268},{{Cambridge University Press}},{0022-0507},,{/Users/ronaldmalis/Documents/Zotero Books/de VriesJ/1971/de Vries_1971_The Role of the Rural Sector in the Development of the Dutch Economy.pdf},{The Journal of Economic History},{1},,,
fouquetSevenCenturiesEuropean2015,article,{Seven {{Centuries}} of {{European Economic Growth}} and {{Decline}}},,"{Fouquet, Roger and Broadberry, Stephen}",{2015},{29},{227--244},{{American Economic Association}},{0895-3309},,{/Users/ronaldmalis/Documents/Zotero Books/FouquetR_BroadberryS/2015/Fouquet_Broadberry_2015_Seven Centuries of European Economic Growth and Decline.pdf},{The Journal of Economic Perspectives},{4},,,
gradaDidScienceCause2016,article,{Did {{Science Cause}} the {{Industrial Revolution}}?},,"{Gr{\'a}da, Cormac {\'O}}",{2016},{54},{224--239},{{American Economic Association}},{0022-0515},"{The role of science and technology in the First Industrial Revolution is still contested. Some scholars, focusing on the textiles sector, argue that skilled and talented artisans with no scientific training were mainly responsible for the key inventions; others, with steam power in mind, hold that the links between science and the crucial inventions of the penod were fundamental. Margaret Jacob has been a leading contributor to the debate for nearly four decades. The publication of her The First Knowledge Economy offers an opportunity to review the issues.}",{/Users/ronaldmalis/Documents/Zotero Books/GrádaC/2016/Gráda_2016_Did Science Cause the Industrial Revolution.pdf},{Journal of Economic Literature},{1},,,
kellyLivingStandardsMortality2014,article,{Living standards and mortality since the middle ages},,"{KELLY, MORGAN and GR{\'A}DA, CORMAC {\'O}}",{2014},{67},{358--381},{{Wiley}},{0013-0117},"{Existing studies find little connection between living standards and mortality in England, but go back only to the sixteenth century. Using new data on inheritances, we extend estimates of mortality back to the mid-thirteenth century and find, by contrast, that deaths from unfree tenants to the nobility were strongly affected by living standards. Looking at a large sample of parishes after 1540, we find that the positive check had weakened considerably by 1650 even though living standards were static at best, but persisted in London for another century despite its higher wages. In both cases the disappearance of the positive check coincided with the introduction of systematic poor relief, suggesting that government action may have played a role in breaking the link between harvest failure and mass mortality.}",{/Users/ronaldmalis/Documents/Zotero Books/KELLYM_GRÁDAC/2014/KELLY_GRÁDA_2014_Living standards and mortality since the middle ages.pdf},{The Economic History Review},{2},,,
kellyPrecociousAlbionNew2014,article,{Precocious {{Albion}}: {{A New Interpretation}} of the {{British Industrial Revolution}}},{Precocious {{Albion}}},"{Kelly, Morgan and Mokyr, Joel and Gr{\'a}da, Cormac {\'O}}",{2014},{6},{363--389},{{Annual Reviews}},{1941-1383},"{Many explanations have been offered for the British Industrial Revolution. This article points to the importance of human capital (broadly defined) and the quality of the British labor force on the eve of the Industrial Revolution. It shows that in terms of both physical quality and mechanical skills, British workers around 1750 were at a much higher level than their continental counterparts. As a result, new inventions\textemdash no matter where they originated\textemdash were adopted earlier, faster, and on a larger scale in Britain than elsewhere. The gap in labor quality is consistent with the higher wages paid in eighteenth-century Britain. The causes for the higher labor quality are explored and found to be associated with a higher level of nutrition and better institutions, especially England's Poor Law and the superior functioning of its apprenticeship system.}",{/Users/ronaldmalis/Documents/Zotero Books/KellyM et al/2014/Kelly et al_2014_Precocious Albion.pdf},{Annual Review of Economics},,,,
kellyPreventiveCheckMedieval2012,article,{The {{Preventive Check}} in {{Medieval}} and {{Preindustrial England}}},,"{Kelly, Morgan and Gr{\'a}da, Cormac {\'O}}",{2012},{72},{1015--1035},{{Cambridge University Press}},{0022-0507},"{England's post-Reformation demographic regime has been characterized as ""low pressure."" Yet the evidence hitherto for the presence of a preventive check, defined as the short-run response of marriage and births to variations in living standards, is rather weak. New evidence in this article strengthens the case for the preventive check in both medieval and early modern England. We invoke manorial data to argue the case for a preventive check on marriages in the Middle Ages. Our analysis of the post-1540 period, based on parish-level rather than aggregate data, finds evidence for a preventive check on marriages and births.}",{/Users/ronaldmalis/Documents/Zotero Books/KellyM_GrádaC/2012/Kelly_Gráda_2012_The Preventive Check in Medieval and Preindustrial England.pdf},{The Journal of Economic History},{4},,,
kellyWaningLittleIce2014,article,{The {{Waning}} of the {{Little Ice Age}}: {{Climate Change}} in {{Early Modern Europe}}},{The {{Waning}} of the {{Little Ice Age}}},"{Kelly, Morgan and Gr{\'a}da, Cormac {\'O}}",{2014},{44},{301--325},"{{[The MIT Press, Massachusetts Institute of Technology and the editors of The Journal of Interdisciplinary History]}}",{0022-1953},"{The supposed ramifications of the Little Ice Age, a period of cooling temperatures straddling several centuries in northwestern Europe, reach far beyond meteorology into economic, political, and cultural history. The available annual temperature series from the late Middle Ages to the end of the nineteenth century, however, contain no major breaks, cycles, or trends that could be associated with the existence of a Little Ice Age. Furthermore, the series of resonant images, ranging from frost fairs to contracting glaciers and from dwindling vineyards to disappearing Viking colonies, often adduced as effects of a Little Ice Age, can also be explained without resort to climate change.}",{/Users/ronaldmalis/Documents/Zotero Books/KellyM_GrádaC/2014/Kelly_Gráda_2014_The Waning of the Little Ice Age.pdf},{The Journal of Interdisciplinary History},{3},,,
lamoreauxFutureEconomicHistory2015,article,{The {{Future}} of {{Economic History Must Be Interdisciplinary}}},,"{Lamoreaux, Naomi}",{2015},{75},{1251--1257},{{Cambridge University Press}},"{0022-0507, 1471-6372}",{//static.cambridge.org/content/id/urn\%3Acambridge.org\%3Aid\%3Aarticle\%3AS0022050715001679/resource/name/firstPage-S0022050715001679a.jpg},{/Users/ronaldmalis/Zotero/storage/289KAZF7/Lamoreaux - 2015 - The Future of Economic History Must Be Interdiscip.pdf},{The Journal of Economic History},{4},,,
lamoreauxProblemBignessStandard2019,article,{The {{Problem}} of {{Bigness}}: {{From Standard Oil}} to {{Google}}},{The {{Problem}} of {{Bigness}}},"{Lamoreaux, Naomi R.}",{2019},{33},{94--117},{{American Economic Association}},{0895-3309},"{This article sets recent expressions of alarm about the monopoly power of technology giants such as Google and Amazon in the long history of Americans' response to big business. I argue that we cannot understand that history unless we realize that Americans have always been concerned about the political and economic dangers of bigness, not just the threat of high prices. The problem policymakers faced after the rise of Standard Oil was how to protect society against those dangers without punishing firms that grew large because they were innovative. The antitrust regime put in place in the early twentieth century managed this balancing act by focusing on large firms' conduct toward competitors and banning practices that were anticompetitive or exclusionary. Maintaining this balance was difficult, however, and it gave way over time\textemdash first to a preoccupation with market power during the post\textendash World War II period, and then to a fixation on consumer welfare in the late twentieth century. Refocusing policy on large firms' conduct would do much to address current fears about bigness without penalizing firms whose market power comes from innovation.}",{/Users/ronaldmalis/Documents/Zotero Books/LamoreauxN/2019/Lamoreaux_2019_The Problem of Bigness.pdf},{The Journal of Economic Perspectives},{3},,,
liGreatDivergenceComparing2012,article,{Before the {{Great Divergence}}? {{Comparing}} the {{Yangzi Delta}} and the {{Netherlands}} at the {{Beginning}} of the {{Nineteenth Century}}},{Before the {{Great Divergence}}?},"{Li, Bozhong and {van Zanden}, Jan Luiten}",{2012},{72},{956--989},{{Cambridge University Press}},{0022-0507},"{This article tests recent ideas about the long-term economic development of China compared with Europe on the basis of a detailed comparison of structure and level of GDP in part of the Yangzi delta and the Netherlands in the 1820s. We find that Dutch GDP per capita was almost twice as high as in the Yangzi delta. Agricultural productivity there was at about the same level as in the Netherlands (and England), but large productivity gaps existed in industry and services. We attempt to explain this concluding that differences in factor costs are probably behind disparities in labor productivity.}",{/Users/ronaldmalis/Documents/Zotero Books/LiB_van ZandenJ/2012/Li_van Zanden_2012_Before the Great Divergence.pdf},{The Journal of Economic History},{4},,,
nealHowItAll2000,article,"{How it all began: the monetary and financial architecture of {{Europe}} during the first global capital markets, 1648\textendash 1815}",{How it all began},"{Neal, Larry}",{2000},{7},{117--140},{{Cambridge University Press}},"{1474-0052, 0968-5650}","{Larry Neal, How it all began: the monetary and financial architecture of Europe during the first global capital markets, 1648\textendash 1815The Treaty of Westphalia created the modern nation-state system of Europe and set the stage for the long-term success of financial capitalism. The new sovereign states experimented with competing monetary regimes during their wars over the next century and two-thirds while they extended and perfected the financial innovations in war finance developed during the Thirty Years War. The Dutch maintained fixed exchange rates, the French insisted on exercising monetary independence, while the English placed priority on free movement of international capital. In struggling with the trilemma of choosing among the goals of maintaining fixed exchange rates, monetary independence and free movement of capital, the governments of early modern Europe learned many valuable lessons. By the time of the Napoleonic wars, the innovations that emphasised reliance on financial markets rather than on financial institutions proved their superiority.}",{/Users/ronaldmalis/Zotero/storage/KT53DD2M/Neal - 2000 - How it all began the monetary and financial archi.pdf},{Financial History Review},{2},,,
obrienAfterword2012,incollection,{Afterword:},{Afterword},"{O'Brien, Patrick K.}",{2012},,{442--453},{{Cambridge University Press}},,,{/Users/ronaldmalis/Zotero/storage/IXQ95ZND/O’Brien - 2012 - Afterword.pdf},,,"{The {{Rise}} of {{Fiscal States}}: {{A Global History}}, 1500\textendash 1914}","{{Yun-Casalilla}, Bartolom{\'e} and O'Brien, Patrick K.}",{978-1-107-01351-3}
obrienAgriculturalProductivityEuropean1992,article,"{Agricultural {{Productivity}} and {{European Industrialization}}, 1890-1980}",,"{O'Brien, Patrick K. and Prados, Leandro and La Escosura, De}",{1992},{45},{514--536},"{{[Economic History Society, Wiley]}}",{0013-0117},{This exercise in comparative measurement and analysis surveys published indicators for labour and land productivities in European agricultures between 1890 and 1980.It exposes the empirical flaws and above all the range of conceptual difficulties involved in defining agricultural outputs and inputs for purposes of international comparison. Yet the numbers do reveal how the industrialization of continental economies was constrained (and severely constrained in Mediterranean Europe) compared with that of the UK by malign historical legacies of high ratios of labour to land and an unfavourable ecological environment for the diffusion of the animal intensive technology of the first agrarian revolution.},"{/Users/ronaldmalis/Documents/Zotero Books/O'BrienP et al/1992/O'Brien et al_1992_Agricultural Productivity and European Industrialization, 1890-1980.pdf}",{The Economic History Review},{3},,,
obrienCostsBenefitsBritish1988,article,{The {{Costs}} and {{Benefits}} of {{British Imperialism}} 1846-1914},,"{O'Brien, Patrick K.}",{1988},,{163--200},"{{[Oxford University Press, The Past and Present Society]}}",{0031-2746},,{/Users/ronaldmalis/Documents/Zotero Books/O'BrienP/1988/O'Brien_1988_The Costs and Benefits of British Imperialism 1846-1914.pdf},{Past \& Present},{120},,,
obrienPoliticalEconomyBritish1988,article,"{The {{Political Economy}} of {{British Taxation}}, 1660-1815}",,"{O'Brien, Patrick K.}",{1988},{41},{1--32},"{{[Economic History Society, Wiley]}}",{0013-0117},"{Between 1660 and 1815 the British government managed to appropriate extraordinary and ever increasing amounts of revenue without much difficulty and without provoking tax revolts. Its success owed something to economic growth, which widened and deepened the base for taxation, but far more to an efficient and politically acceptable selection of the commodities and social groups imposed upon to carry the fiscal burden of its expansionary foreign and military policies. Despite the antipathy they arouse, foreign and military policies. Despite the antipathy they aroused, for administrative and political reasons excises and stamp duties imposed on goods and services produced and sold within the kingdom made the greatest long-term contribution towards Britain's rise to the status of a great power. Even at times of pressing military necessity taxes collected by the central government of an aristocratic state did not become manifestly more regressive. And with the introduction of an income tax during the long war with Revolutionary France their incidence probably shifted in a progressive direction.}","{/Users/ronaldmalis/Documents/Zotero Books/O'BrienP/1988/O'Brien_1988_The Political Economy of British Taxation, 1660-1815.pdf}",{The Economic History Review},{1},,,
